"","ID","RegistrationNumber","BusinessTitle","IdLegislativePeriod","IdSession","Subject","SessionName"
"760",17452,13712,"Eine Zulage für jedes Kind",50,5004,NA,"Sommersession 2016"
"761",17453,13713,"Bessere Nutzung von Gesundheitsdaten für eine qualitativ hochstehende und effiziente Gesundheitsversorgung",50,5004,NA,"Sommersession 2016"
"762",17454,13714,"Ergänzungsleistungen und Datenübermittlung",50,5004,NA,"Sommersession 2016"
"763",17455,13715,"Suche nach neuer Landeshymne als dümmliche Casting-Show. Parlament und/oder Schweizervolk sollen bestimmen!",50,5004,NA,"Sommersession 2016"
"764",17457,13717,"Keine Deodorants mit Aluminium",50,5004,NA,"Sommersession 2016"
"765",17459,13719,"Ergänzungsleistungen und Prämienverbilligungen entkoppeln",50,5004,NA,"Sommersession 2016"
"766",17462,13722,"Tiefere Renten wegen Provisionen?",50,5004,NA,"Sommersession 2016"
"767",17463,13723,"Häusliche Gewalt durch konsequente Inverantwortungnahme der gewaltausübenden Person stoppen",50,5004,NA,"Sommersession 2016"
"768",17464,13724,"Kontrollierte Cannabis-Abgabe",50,5004,NA,"Sommersession 2016"
"769",17472,13732,"Militärstrafprozess. Ausdehnung der Rechte der Geschädigten",50,5004,"Schlussabstimmung","Sommersession 2016"
"770",17473,13733,"Strafregistergesetz (VOSTRA)",50,5004,"Schlussabstimmung","Sommersession 2016"
"771",17474,13734,"Landesversorgungsgesetz. Totalrevision",50,5004,"Schlussabstimmung","Sommersession 2016"
"772",17475,13735,"ZGB. Adoption. Änderung",50,5004,"Schlussabstimmung","Sommersession 2016"
"773",17476,13736,"Bundesgesetz über die Arbeit in Unternehmen des öffentlichen Verkehrs (AZG). Teilrevision",50,5004,"Schlussabstimmung","Sommersession 2016"
"774",17477,13737,"Unternehmenssteuerreformgesetz III",50,5004,"Schlussabstimmung","Sommersession 2016"
"775",17478,13738,"Informationsaustausch in Steuersachen. Abkommen mit Belize und Grenada",50,5004,"Schlussabstimmung","Sommersession 2016"
"776",17479,13739,"Informationsaustausch in Steuersachen. Abkommen mit Belize und Grenada",50,5004,"Schlussabstimmung","Sommersession 2016"
"777",17480,13740,"Doppelbesteuerung. Abkommen mit Oman",50,5004,"Schlussabstimmung","Sommersession 2016"
"778",17481,13741,"Doppelbesteuerung. Abkommen mit Liechtenstein",50,5004,"Schlussabstimmung","Sommersession 2016"
"779",17482,13742,"Doppelbesteuerung. Abkommen mit Liechtenstein",50,5004,"Schlussabstimmung","Sommersession 2016"
"780",17483,13743,"Doppelbesteuerung. Abkommen mit Norwegen",50,5004,"Schlussabstimmung","Sommersession 2016"
"781",17484,13744,"Doppelbesteuerung. Abkommen mit Albanien",50,5004,"Schlussabstimmung","Sommersession 2016"
"782",17485,13745,"Innosuisse-Gesetz",50,5004,"Schlussabstimmung","Sommersession 2016"
"783",17486,13746,"Zinsbesteuerungsabkommen zwischen der Schweiz und der EU. Änderung",50,5004,"Schlussabstimmung","Sommersession 2016"
"784",17487,13747,"Freizügigkeitsabkommen. Ausdehnung auf Kroatien",50,5004,"Schlussabstimmung","Sommersession 2016"
"785",17488,13748,"Verlängerung der Gültigkeit von Artikel 55a KVG",50,5004,"Schlussabstimmung","Sommersession 2016"
"786",17490,13750,"Abbau von Bürokratie. Überprüfung der Ratio Legis durch eine parlamentarische Delegation",50,5004,NA,"Sommersession 2016"
"787",17491,13751,"Parlamentsgesetz. Unabhängige Rechtsvergleichung statt EU-Kompatibilitätsprüfung bzw. EU-Rechtsangleichung",50,5004,NA,"Sommersession 2016"
"788",17492,13752,"Ausstandspflicht für Ratsmitglieder mit direkten finanziellen Eigeninteressen in Kommissionssitzungen",50,5004,NA,"Sommersession 2016"
"789",17493,13753,"Verschuldete Personen nicht noch stärker unter Druck setzen",50,5004,NA,"Sommersession 2016"
"790",17496,13756,"Umbauten in der Landwirtschaftszone. Kantonale Kompetenz",50,5004,NA,"Sommersession 2016"
"791",17510,13770,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 2 Abs. 1","Herbstsession 2016"
"792",17511,13771,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 14 Abs. 3","Herbstsession 2016"
"793",17512,13772,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 17 Abs. 2","Herbstsession 2016"
"794",17513,13773,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 17 Abs. 5bis","Herbstsession 2016"
"795",17514,13774,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 22 Abs. 2 und 4
Die Abstimmung gilt auch für Art. 25 bis 27)","Herbstsession 2016"
"796",17515,13775,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 22 Abs. 7","Herbstsession 2016"
"797",17516,13776,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 33a
Die Abstimmung gilt auch für Art. 37 Abs. 2 Bst. cbis, Art. 38 Abs. 1 Bst. c, Art. 39a Abs. 3, Art. 70a Abs. 1 Bst. a0, Art. 72 Abs. 1 Bst. bbis","Herbstsession 2016"
"798",17517,13777,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 45a","Herbstsession 2016"
"799",17519,13779,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Art. 46 Abs. 3 Bst. a","Herbstsession 2016"
"800",17521,13781,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Ziff. 2a - Art. 31a DBG
Die Abstimmung gilt auch für Art. 32 Abs. 2 und 2bis, Art. 205e DBG sowie für Art. 9 Abs. 3 Bst. a, Abs. 3bis und 3quinquies, uund Art. 10 Abs. 1ter, Art. 72q und Art. 78f StHG","Herbstsession 2016"
"801",17522,13782,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Ziffer 2a - Art. 31a DBG
Die Abstimmung gilt auch für Art. 32 Abs. 2 und 2bis, Art. 205e DBG sowie für Art. 9 Abs. 3 Bst. a, Abs. 3bis und 3quinquies, uund Art. 10 Abs. 1ter, Art. 72q und Art. 78f StHG","Herbstsession 2016"
"802",17523,13783,"Energiestrategie 2050, erstes Massnahmenpaket. Für den geordneten Ausstieg aus der Atomenergie (Atomausstiegsinitiative). Volksinitiative",50,5005,"Ziffer 7 - Art. 14 Abs. 3 Bst. c","Herbstsession 2016"
"803",17525,13785,"Anpassung der raumplanungsrechtlichen Anforderungen für Hotelbauten ausserhalb der Bauzonen",50,5005,NA,"Herbstsession 2016"
"804",17526,13786,"Lärmschutzmassnahmen bei Strassen nach 2018",50,5005,NA,"Herbstsession 2016"
"805",17527,13787,"Taxis, Uber und andere Fahrdienste. Für einen faireren Wettbewerb",50,5005,NA,"Herbstsession 2016"
